,0,0,0,0
0,1.6502694e-05,0.034109935,0.0,0.14327821
1,0.00012434222,0.061894834,0.0,0.26008263
2,0.00063357665,0.1142723,0.0,0.4805772
3,0.0013708416,0.12084815,1.0,0.50893307
4,0.01254801,0.119832195,1.0,0.5158432
5,0.08987501,0.1197879,1.0,0.5929842
6,0.57000005,0.113756,1.0,1.0
7,0.9544988,0.09275373,1.0,1.0
8,0.9951539,0.02990371,1.0,1.0
9,0.998998,0.014515995,1.0,1.0
10,0.99903023,0.012487641,1.0,1.0
11,0.9992692,0.011493458,1.0,1.0
12,0.9992551,0.010787386,1.0,1.0
13,0.9996691,0.010043864,1.0,1.0
14,0.9997365,0.009229829,1.0,1.0
15,0.99984396,0.009967008,1.0,1.0
16,0.99982965,0.011587932,1.0,1.0
17,0.99972814,0.012670484,1.0,1.0
18,0.9992663,0.013481016,1.0,1.0
19,0.99911076,0.015301209,1.0,1.0
20,0.98780817,0.019019578,1.0,1.0
21,0.12805897,0.13664341,1.0,0.7019613
22,5.622414e-05,0.1144698,0.0,0.48082936
23,1.4717545e-08,0.029009867,0.0,0.12184145
24,8.625866e-09,0.016703803,0.0,0.07015598
